City,Latitude (decimal degrees),Longitude (decimal degrees),Latitude (degree),Latitude (minutes),Longitude (degree),Longitude (minutes)
Dixon,41.83333333,-89.48333333,41,50,-89,29
Elgin,42.03333333,-88.26666667,42,2,-88,16
Freeport,42.3,-89.61666667,42,18,-89,37
Galesburg,40.93333333,-90.43333333,40,56,-90,26
Greenville,38.88333333,-89.4,38,53,-89,24
Joliet,41.51666667,-88.16666667,41,31,-88,10
Kankakee,41.08333333,-87.91666667,41,5,-87,55
La Salle/Peru,41.31666667,-89.1,41,19,-89,6
Macomb,40.46666667,-90.66666667,40,28,-90,40
Moline AP,41.45,-90.51666667,41,27,-90,31
Mt Vernon,38.31666667,-88.86666667,38,19,-88,52
Peoria AP,40.66666667,-89.68333333,40,40,-89,41
Quincy AP,39.95,-91.2,39,57,-91,12
"Rantoul, Chanute AFB",40.3,-88.13333333,40,18,-88,8
Rockford,42.35,-89.05,42,21,-89,3
Springfield AP,39.83333333,-89.66666667,39,50,-89,40
Waukegan,42.35,-87.88333333,42,21,-87,53
Anderson,40.1,-85.61666667,40,6,-85,37
Bedford,38.85,-86.5,38,51,-86,30
Bloomington,39.13333333,-86.61666667,39,8,-86,37
"Columbus, Bakalar AFB",39.26666667,-85.9,39,16,-85,54
Crawfordsville,40.05,-86.9,40,3,-86,54
Evansville AP,38.05,-87.53333333,38,3,-87,32
Fort Wayne AP,41,-85.2,41,0,-85,12
Goshen AP,41.53333333,-85.8,41,32,-85,48
Hobart,41.53333333,-87.25,41,32,-87,15
Huntington,40.88333333,-85.5,40,53,-85,30
Indianapolis AP,39.73333333,-86.28333333,39,44,-86,17
Jeffersonville,38.28333333,-85.75,38,17,-85,45
Kokomo,40.41666667,-86.05,40,25,-86,3
Lafayette,40.03333333,-86.08333333,40,2,-86,5
La Porte,41.6,-86.71666667,41,36,-86,43
Marion,40.48333333,-85.68333333,40,29,-85,41
Muncie,40.18333333,-85.35,40,11,-85,21
"Peru, Grissom AFB",40.65,-86.15,40,39,-86,9
Richmond AP,39.76666667,-84.83333333,39,46,-84,50
Shelbyville,39.51666667,-85.78333333,39,31,-85,47
South Bend AP,41.7,-86.31666667,41,42,-86,19
Terre Haute AP,39.45,-87.3,39,27,-87,18
Valparaiso,41.51666667,-87.03333333,41,31,-87,2
